nodo,pagerank,controlabilidad
627213,0.0187000000,0.1432555931
627303,0.0217000000,0.2494213993
627813,0.0149000000,0.3288232152
629843,0.0213000000,0.5701738769
630113,0.0276000000,0.1627796570
630793,0.0039200000,0.0707969853
631823,0.0141000000,0.1464008071
632053,0.0140000000,0.8310486025
632173,0.0189000000,0.8443415821
632433,0.1699096822,0.0253397425
632443,0.0850335305,0.0413031868
633293,0.0064900000,0.5769983977
634433,0.0039200000,0.2313809269
635633,0.0651418837,0.1041481218
636593,0.0039200000,0.4461456293
636843,0.0465000000,0.3248471901
637533,0.0386000000,0.1331671711
637773,0.0117000000,0.1891282416
638323,0.0334000000,0.2610527565
638403,0.0165000000,0.1853895911
639433,0.0159000000,0.3003976025
639973,0.0039200000,0.7871342947
640983,0.0039200000,0.1601091923
641483,0.0050700000,0.3094178387
641953,0.0072900000,0.1520384547
643323,0.0085400000,0.1387454750
646663,0.0168000000,0.0831998101
649283,0.0319000000,0.6253041363
649713,0.0854268308,0.0671176785
652193,0.0074700000,0.7200166162
652293,0.0873054092,0.3582576702
653433,0.0153000000,0.3419975076
655313,0.0039200000,0.6408521749
656423,0.0189000000,0.3498902142
656433,0.0066800000,0.1877039938
656543,0.0039200000,0.7311732241
656713,0.0163000000,0.2882321524
657083,0.0088300000,0.1561925108
657293,0.0039200000,0.4457302237
657693,0.0039200000,0.3523826479
658033,0.0218000000,0.3994421696
658293,0.0065500000,0.4504777165
659393,0.0134000000,0.4389057029
659803,0.0244000000,0.3755266750
660823,0.0195000000,0.4498249362
661573,0.0159000000,0.5754554626
662763,0.0402000000,0.6121891876
663463,0.1483989406,0.0956026349
665023,0.0039200000,0.4705952169
666043,0.1087087620,0.0432021839
666523,0.0466000000,0.1218325322
667003,0.0378000000,0.0336478547
667873,0.0535000000,0.3238383479
668243,0.0241000000,0.2641386268
668423,0.0151000000,0.4707732479
669303,0.0358000000,0.1690700849
671083,0.0039200000,0.6804343956
671483,0.0409000000,0.0605305323
671503,0.0085100000,0.3427689751
671763,0.0199000000,0.7472553558
672473,0.0093300000,0.7201946472
672493,0.0219000000,0.7418550828
673743,0.0209000000,0.2673431844
674383,0.0449000000,0.0672363658
674593,0.0383000000,0.1484778351
675563,0.0627000000,0.1524538603
676493,0.0039200000,0.8994718414
676923,0.0353000000,0.6598421459
677523,0.0120000000,0.2726247700
678233,0.0039200000,0.8965046585
678323,0.0215000000,0.1389828497
678893,0.0113000000,0.6651830752
679173,0.0092500000,0.0966708207
679303,0.1159836350,0.1535813898
680653,0.0265000000,0.1929855795
680953,0.0039200000,0.3768915791
681333,0.0039200000,0.2695982434
681473,0.0268000000,0.0775028188
682023,0.0039200000,0.3190315115
682823,0.0077200000,0.1532846715
682993,0.0065300000,0.2526853006
684323,0.0109000000,0.6580024924
685063,0.0128000000,0.1795145689
685183,0.0069900000,0.5356358673
685593,0.0111000000,0.5543291199
686483,0.0264000000,0.3975431725
686993,0.0347000000,0.1416533143
688553,0.0079500000,0.6823927363
688933,0.0098400000,0.0275948015
688983,0.0178000000,0.5102961249
690503,0.0039200000,0.3720253991
691353,0.0550000000,0.5518960299
693883,0.0235000000,0.0296124859
694283,0.0476000000,0.1083615216
695603,0.0039200000,0.7089193520
697293,0.0039200000,0.1637884992
697613,0.0505000000,0.2828912231
698813,0.0426000000,0.4835914783
701603,0.0050400000,0.3745178328
701923,0.0039200000,0.2059224972
704563,0.0039200000,0.3802741677
704863,0.0306000000,0.4054952228
705953,0.0219000000,0.0969081954
706273,0.0099700000,0.4402706071
708653,0.0261000000,0.1428995312
709853,0.0039200000,0.5546258382
710133,0.0039200000,0.4251973177
710563,0.0129000000,0.1824224082
710613,0.0643744799,0.2412319744
710913,0.0039200000,0.1279449291
711303,0.5563597879,0.2421221293
711653,0.0056000000,0.2711411786
711803,0.0482000000,0.6337902795
711963,0.0099600000,0.7074357605
712173,0.0282000000,0.3327398967
713223,0.0276000000,0.1194587858
713263,0.0388000000,0.3367159219
713333,0.1036454184,0.0908551421
714563,0.0157000000,0.2043202184
714913,0.0039200000,0.4063853777
715113,0.0121000000,0.3971871106
715133,0.0227000000,0.1030799359
716893,0.0039200000,0.0414218741
717003,0.1282468893,0.2325678001
717043,0.0039200000,0.3535695211
717893,0.0389000000,0.0839119340
720323,0.0105000000,0.1998101003
720503,0.0039200000,0.1652127470
721613,0.0137000000,0.1283009910
722133,0.0137000000,0.4203904813
722553,0.0076800000,0.4790813602
722673,0.0131000000,0.3931517417
722933,0.0054200000,0.7170494333
722973,0.0039200000,0.5603821732
724273,0.0298000000,0.2691234942
724643,0.0289000000,0.1748857635
724783,0.0272000000,0.3673965937
725093,0.0413000000,0.4927897454
725353,0.0039200000,0.5140347754
725473,0.0264000000,0.1059877752
725553,0.0193000000,0.3516705240
726983,0.0150000000,0.5641801673
727513,0.0195000000,0.3482879354
727943,0.1169021589,0.1967835737
730423,0.0151000000,0.5799062370
730543,0.0227000000,0.6353332146
731163,0.0505000000,0.0435582458
731253,0.0926840940,0.0810040947
731513,0.0366000000,0.4279864696
731923,0.0699167227,0.1320396416
732723,0.0114000000,0.1315648923
732763,0.0079900000,0.3856150970
732943,0.0039200000,0.3959408937
733383,0.0405000000,0.5772951160
733803,0.0547000000,0.0834371847
733893,0.0543000000,0.0973829446
734153,0.0191000000,0.6424544537
734203,0.0192000000,0.2239036259
735123,0.0039200000,0.6481514450
735513,0.0090500000,0.3435404427
736483,0.0210000000,0.4238324135
739853,0.0039200000,0.5151623049
740203,0.0221000000,0.8414337428
740983,0.0613000000,0.2735742686
741553,0.0709980857,0.2762447333
742343,0.0039200000,0.8650525191
742713,0.0238000000,0.0604118450
742883,0.0107000000,0.4039522877
744903,0.0250000000,0.3596819180
745553,0.0039200000,0.5972939291
745903,0.0161000000,0.1471722746
746323,0.2064226871,0.0486024568
747493,0.0075500000,0.3460328764
748933,0.0207000000,0.2442585010
749333,0.2040598016,0.0319862323
749453,0.0491000000,0.5667912884
749483,0.0039200000,0.6750341226
749493,0.0142000000,0.2339327043
749863,0.1045748733,0.5262002255
750823,0.0167000000,0.2328051748
751633,0.0199000000,0.2473443713
752603,0.0303000000,0.5898759718
752703,0.0279000000,0.1033766542
752743,0.0069600000,0.0490178624
753743,0.0283000000,0.0867010860
754003,0.0535000000,0.2259213103
754497,0.0084500000,0.5375348644
754556,0.0039200000,0.0422526853
754571,0.0109000000,0.1841433743
754581,0.0140000000,0.9054062073
754656,0.0075300000,0.5158150852
754682,0.0039200000,0.2894190256
754685,0.0128000000,0.2097798350
754727,0.0256000000,0.2847308765
754741,0.0118000000,0.5224022313
754807,0.0162000000,0.1023084683
754820,0.0227000000,0.3141653314
754823,0.0074600000,0.6697525369
754839,0.0157000000,0.4116669634
754870,0.0335000000,0.3459141891
754873,0.0039200000,0.1020117500
754969,0.0159000000,0.5593139873
754973,0.0157000000,0.2414693490
755001,0.0039200000,0.1650940597
755083,0.0039200000,0.1929855795
755086,0.0245000000,0.3145213934
755172,0.0039200000,0.5283959409
755241,0.0659083925,0.6428698594
755258,0.0085800000,0.2585603228
755311,0.0039200000,0.1725713608
755340,0.0039200000,0.3636579431
755370,0.0073200000,0.3593851997
755389,0.0851789977,0.2701916800
755574,0.0176000000,0.0849207762
755756,0.0360000000,0.8325915376
755768,0.0218000000,0.1180938817
756047,0.0039200000,0.6720669396
756139,0.0039200000,0.3490000593
756236,0.0135000000,0.4923149961
756357,0.0039200000,0.6480327577
756391,0.0089300000,0.4018752596
756400,0.0039200000,0.6096967539
756431,0.0457000000,0.1297252389
756532,0.0039200000,0.1279449291
756742,0.0316000000,0.1492493027
756745,0.0080200000,0.2898937749
756872,0.0532000000,0.1080648033
756927,0.0336000000,0.1423654383
756975,0.0558000000,0.5164678654
757149,0.0198000000,0.0577413803
757725,0.0107000000,0.5865527268
757838,0.0407000000,0.5071509109
757903,0.0155000000,0.2754732657
758061,0.0204000000,0.2156548573
758073,0.0137000000,0.0837339030
758114,0.0275000000,0.1569046347
758144,0.0891522839,0.1839059996
758185,0.0213000000,0.5739125274
758799,0.0113000000,0.5664945701
758970,0.0757284277,0.0724586078
759036,0.0732288041,0.1754198564
759137,0.0039200000,0.1731647973
759186,0.0623000000,0.1027238740
759720,0.0039200000,0.7053587324
759791,0.0312000000,0.1420687200
759926,0.0137000000,0.0989258798
760579,0.0093300000,0.1151266987
760635,0.0054400000,0.6569343066
760983,0.0121000000,0.3497121833
761058,0.0070800000,0.9657587087
761153,0.0039200000,0.2658595929
761362,0.0140000000,0.1172630704
761428,0.0872719391,0.0963147588
761483,0.0108000000,0.4332680553
761492,0.0039200000,0.9167408462
761627,0.0240000000,0.4809210136
761906,0.0674667632,0.0683638953
761969,0.1172604366,0.2222420034
762041,0.0074200000,0.1258679010
762115,0.0644948590,0.1002314403
763060,0.0159000000,0.3789686072
763170,0.0427000000,0.1931042668
763237,0.0095100000,0.2121535814
763403,0.0455000000,0.0849207762
763489,0.0248000000,0.2096611477
763564,0.0039200000,0.5016912943
763803,0.0508000000,0.2107293336
764035,0.0091800000,0.5907661266
764853,0.0113000000,0.2661563112
764980,0.0168000000,0.4939172749
765080,0.0129000000,0.4700017803
765307,0.0584000000,0.4790220165
765456,0.0039200000,0.3766542045
765609,0.0175000000,0.1805234111
765686,0.0078500000,0.3419975076
765942,0.0057200000,0.2103139280
766009,0.0512000000,0.2127470180
766081,0.0039200000,0.1491306154
766291,0.0070200000,0.3228888493
766328,0.0213000000,0.1747670761
767022,0.0039200000,0.9578066584
767610,0.0235000000,0.2185033529
767749,0.0039200000,0.5721322177
768288,0.0486000000,0.1031392796
768383,0.0246000000,0.1269360869
768551,0.0450000000,0.1658061836
768579,0.0440000000,0.2046762803
768617,0.0353000000,0.2097204914
768761,0.0039200000,0.5278025043
768783,0.0558000000,0.8788202481
768828,0.0071100000,0.4435345083
768841,0.0254000000,0.5757521809
768856,0.0288000000,0.3695923091
768874,0.0039200000,0.8503946353
769000,0.0334000000,0.7136075010
769123,0.0756541813,0.0547148537
769147,0.0345000000,0.3108420865
769167,0.0210000000,0.4374221114
769696,0.0278000000,0.0756631654
769746,0.0188000000,0.1233161237
769937,0.0448000000,0.1357782921
770312,0.0110000000,0.7803691176
770441,0.0350000000,0.1196961605
