nodo,controlability,kshell
690503,0.3720253991,2
691353,0.5518960299,5
693883,0.0296124859,5
694283,0.1083615216,9
695603,0.7089193520,5
697293,0.1637884992,2
697613,0.2828912231,4
698813,0.4835914783,4
701603,0.3745178328,2
701923,0.2059224972,4
704563,0.3802741677,5
704863,0.4054952228,5
705953,0.0969081954,4
706273,0.4402706071,4
708653,0.1428995312,5
709853,0.5546258382,2
710133,0.4251973177,4
710563,0.1824224082,4
710613,0.2412319744,5
710913,0.1279449291,9
711303,0.2421221293,9
711653,0.2711411786,3
711803,0.6337902795,6
711963,0.7074357605,3
712173,0.3327398967,4
713223,0.1194587858,5
713263,0.3367159219,3
713333,0.0908551421,6
714563,0.2043202184,3
714913,0.4063853777,2
715113,0.3971871106,5
715133,0.1030799359,3
716893,0.0414218741,9
717003,0.2325678001,8
717043,0.3535695211,2
717893,0.0839119340,5
720323,0.1998101003,2
720503,0.1652127470,4
721613,0.1283009910,5
722133,0.4203904813,3
722553,0.4790813602,2
722673,0.3931517417,2
722933,0.7170494333,4
722973,0.5603821732,2
724273,0.2691234942,3
724643,0.1748857635,6
724783,0.3673965937,5
725093,0.4927897454,9
725353,0.5140347754,3
725473,0.1059877752,2
725553,0.3516705240,4
726983,0.5641801673,4
727513,0.3482879354,5
727943,0.1967835737,6
730423,0.5799062370,3
730543,0.6353332146,7
731163,0.0435582458,2
731253,0.0810040947,5
731513,0.4279864696,2
731923,0.1320396416,7
732723,0.1315648923,2
732763,0.3856150970,2
732943,0.3959408937,4
733383,0.5772951160,2
733803,0.0834371847,6
733893,0.0973829446,6
734153,0.6424544537,4
734203,0.2239036259,5
735123,0.6481514450,4
735513,0.3435404427,2
736483,0.4238324135,4
739853,0.5151623049,2
740203,0.8414337428,4
740983,0.2735742686,6
741553,0.2762447333,6
742343,0.8650525191,2
742713,0.0604118450,2
742883,0.4039522877,4
744903,0.3596819180,3
745553,0.5972939291,2
745903,0.1471722746,3
746323,0.0486024568,9
747493,0.3460328764,3
748933,0.2442585010,2
749333,0.0319862323,8
749453,0.5667912884,8
749483,0.6750341226,2
749493,0.2339327043,2
749863,0.5262002255,6
750823,0.2328051748,3
751633,0.2473443713,4
752603,0.5898759718,4
752703,0.1033766542,5
752743,0.0490178624,9
753743,0.0867010860,3
754003,0.2259213103,7
754497,0.5375348644,3
754556,0.0422526853,9
754571,0.1841433743,2
754581,0.9054062073,2
754656,0.5158150852,2
754682,0.2894190256,5
754685,0.2097798350,2
754727,0.2847308765,2
754741,0.5224022313,3
754807,0.1023084683,7
754820,0.3141653314,2
754823,0.6697525369,3
754839,0.4116669634,3
754870,0.3459141891,6
754873,0.1020117500,3
754969,0.5593139873,4
754973,0.2414693490,2
755001,0.1650940597,3
755083,0.1929855795,3
755086,0.3145213934,6
755172,0.5283959409,5
755241,0.6428698594,5
755258,0.2585603228,2
755311,0.1725713608,3
755340,0.3636579431,5
755370,0.3593851997,2
755389,0.2701916800,7
755574,0.0849207762,4
755756,0.8325915376,6
755768,0.1180938817,5
756047,0.6720669396,3
756139,0.3490000593,2
756236,0.4923149961,3
756357,0.6480327577,2
756391,0.4018752596,3
